                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4892,                 4.2439,                 4.1566,                0.00685,                0.07863,                0.00446,                0.00113,                 3.4619,                 4.4866,                 4.2501,             0.00029963,             0.00029963,             0.00029963
                      2,                 3.1612,                 3.4624,                 3.6038,                0.63955,                0.09513,                0.03937,                 0.0114,                 2.9801,                 3.3107,                 3.4649,             0.00059667,             0.00059667,             0.00059667
                      3,                 2.8476,                 3.1121,                 3.1497,                0.54074,                0.10991,                0.07887,                0.02656,                 2.6625,                 3.1785,                 3.0468,              0.0008877,              0.0008877,              0.0008877
                      4,                 2.5211,                 2.8221,                 2.8316,                0.47834,                0.17538,                0.14637,                 0.0539,                 2.3411,                 2.7495,                 2.7001,               0.000882,               0.000882,               0.000882
                      5,                 2.3041,                 2.5146,                 2.5886,                0.54443,                0.25314,                0.22632,                0.09072,                 2.1484,                 2.2485,                  2.532,               0.000873,               0.000873,               0.000873
                      6,                 2.1453,                 2.2952,                  2.432,                0.74311,                0.24831,                 0.2827,                0.12278,                 2.0389,                 2.0018,                 2.3862,               0.000864,               0.000864,               0.000864
                      7,                 2.0279,                 2.1379,                 2.3172,                0.59428,                0.31001,                0.30446,                0.12613,                 1.9805,                 1.9506,                 2.3306,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.9447,                 1.9791,                 2.2179,                0.55037,                0.33923,                0.34333,                0.15102,                 1.9378,                 1.8611,                 2.2448,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.8942,                 1.8843,                 2.1544,                0.53626,                0.38516,                0.40282,                0.18082,                 1.8518,                 1.7034,                  2.165,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.8565,                 1.8273,                   2.12,                0.51699,                0.40313,                0.40094,                 0.1872,                 1.8447,                  1.689,                 2.1401,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.8424,                 1.7818,                 2.0795,                0.56018,                 0.4372,                0.42346,                0.19615,                 1.7941,                 1.5943,                 2.0822,             0.00081901,             0.00081901,             0.00081901
                     12,                  1.787,                 1.7229,                 2.0301,                0.69204,                 0.3995,                0.45849,                0.21754,                 1.7634,                 1.5372,                 2.0415,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.7757,                 1.6825,                 2.0011,                0.49706,                0.46772,                0.45032,                0.21377,                 1.7485,                 1.5328,                 2.0271,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.7209,                 1.6223,                 1.9673,                0.50663,                0.48075,                0.46188,                0.22501,                 1.7067,                 1.4992,                 1.9928,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.7107,                 1.5665,                 1.9376,                0.50131,                0.45893,                0.45447,                0.21888,                 1.7315,                 1.4542,                 2.0008,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.6816,                 1.5553,                 1.9248,                0.65326,                0.44511,                0.47826,                0.23365,                 1.7138,                 1.4083,                 1.9695,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.6589,                 1.4973,                 1.8975,                0.55792,                0.50943,                0.50963,                0.25374,                 1.6502,                 1.3855,                 1.9214,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.6507,                 1.4777,                 1.8759,                0.51106,                0.47319,                 0.4884,                0.23691,                 1.6887,                 1.3657,                  1.931,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.6354,                 1.4686,                 1.8699,                0.53305,                0.52229,                0.51265,                0.25316,                 1.6751,                 1.3242,                 1.9349,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.6368,                 1.4743,                 1.8757,                0.58632,                0.52733,                0.54235,                0.26938,                 1.6162,                 1.2845,                 1.8763,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.6138,                 1.4129,                 1.8426,                0.68011,                 0.4709,                0.53685,                0.26829,                 1.6557,                 1.2713,                 1.9078,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.6197,                 1.4038,                 1.8322,                  0.584,                0.53905,                0.52496,                0.25973,                  1.674,                  1.281,                 1.9311,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.5813,                 1.3723,                 1.8151,                0.55773,                0.55164,                0.54083,                0.26566,                 1.6509,                  1.266,                 1.9083,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.5891,                 1.3453,                 1.8028,                0.56915,                0.52927,                0.53429,                 0.2647,                 1.6291,                 1.2555,                 1.8864,             0.00070202,             0.00070202,             0.00070202
                     25,                  1.568,                 1.3202,                 1.7816,                0.56638,                0.55787,                0.55934,                0.27818,                 1.6067,                 1.2073,                 1.8694,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.5585,                 1.3458,                  1.781,                0.56752,                0.57145,                0.56444,                0.27968,                 1.6168,                 1.2198,                 1.8718,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.5463,                 1.2911,                 1.7683,                0.57914,                0.58209,                0.57298,                0.29356,                  1.578,                 1.1723,                 1.8335,             0.00067502,             0.00067502,             0.00067502
                     28,                  1.534,                 1.2802,                 1.7582,                0.54687,                0.55136,                0.55633,                0.28379,                 1.5903,                 1.1964,                 1.8236,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.5387,                 1.2746,                  1.753,                0.55666,                0.59253,                0.58206,                0.29981,                 1.5729,                 1.1441,                 1.8233,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.5224,                 1.2535,                 1.7484,                0.57342,                 0.5721,                0.58484,                0.30112,                 1.5697,                 1.1372,                 1.8206,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.5219,                 1.2464,                 1.7387,                0.58217,                0.58103,                0.57573,                0.29655,                 1.5702,                 1.1231,                 1.8166,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.5151,                 1.2545,                 1.7415,                0.63891,                0.55019,                 0.5922,                0.30598,                  1.566,                 1.1299,                 1.7963,             0.00063003,             0.00063003,             0.00063003
